TimeStamp	LastMCC_ID	LastMCC_CountryCode	CurMCC_ID	CurMCC_CountryCode	LastCell_ID	LastCell_Provider	CurCell_ID	CurCell_Provider	RSSI	Lat	Lng	User	Device
20120730T161208	n/a	FR	n/a	IT	n/a	O2	n/a	O2	-72	45.213003555993964	6.536865234375	"Jim"	"Galaxy S II"
20120731T103244	n/a	ES	n/a	FR	n/a	Vodafone	n/a	T-Mobile	-59	42.94838139765314	-0.59326171875	"Sarah"	"One S"
20120802T055216	n/a	DK	n/a	SE	n/a	Tele2	n/a	Swisscom	-34	55.55970923563195	13.0078125	"Martin"	"One S"
20120730T101208	n/a	IT	n/a	SI	n/a	undefined	n/a	O2	-32	45.84793427349226	13.4857177734375	"Till"	"Desire HD"
20120731T181311	n/a	AT	n/a	SI	n/a	Mobistar	n/a	Vodafone	-17	46.53997127029103	14.0185546875	"Sabrina"	"Droid Razr"
20120731T212207	n/a	SI	n/a	AT	n/a	Orange	n/a	Tele2	-73	46.41892578708076	14.1339111328125	"Martin"	"Evo"
20120731T085523	n/a	GB	n/a	IE	n/a	Vodafone	n/a	Telia	-65	53.29641404214567	-5.9326171875	"Ben"	"Galaxy Nexus"
20120803T075001	n/a	DE	n/a	PL	n/a	O2	n/a	Vodafone	-88	53.38332836757153	14.265747070312498	"Alex"	"Desire HD"
20120804T124131	n/a	DE	n/a	PL	n/a	T-Mobile	n/a	O2	-75	53.07422751310222	14.249267578124998	"Hans"	"n/a"
20120804T200046	n/a	PL	n/a	DE	n/a	O2	n/a	Tele2	-46	52.769539220673074	14.414062499999998	"Danja"	"Galaxy S III"
20120731T145517	n/a	GB	n/a	FR	n/a	Vodafone	n/a	3	-89	50.885708708915175	2.0489501953125	"Brendan"	"Galaxy S II"
20120731T181551	n/a	FR	n/a	ES	n/a	Orange	n/a	E-Plus	-67	42.370720143531976	2.9278564453125	"Ben"	"Galaxy S II"
20120803T075523	n/a	PL	n/a	DE	n/a	Orange	n/a	O2	-54	54.10450206317112	11.876220703124998	"Jim"	"Droid Razr"
20120731T212150	n/a	FR	n/a	ES	n/a	Orange	n/a	Orange	-32	42.50450285299051	2.7960205078125	"Steve"	"Droid Razr"
20120802T091010	n/a	IE	n/a	GB	n/a	Orange	n/a	O2	-59	54.18172660239092	-6.3336181640625	"Martin"	"One S"
20120802T124131	n/a	BE	n/a	FR	n/a	Mobistar	n/a	Telekom	-56	49.830896288288976	5.0921630859375	"Danja"	"Desire HD"
20120802T075523	n/a	DE	n/a	PL	n/a	O2	NULL	T-Mobile	-70	53.91081008725409	14.139404296875	"Julian"	"One S"
20120802T075523	n/a	DE	n/a	PL	n/a	Orange	n/a	O2	-50	50.89263913111063	14.771118164062498	"Sarah"	"Galaxy S II"
20120802T075523	n/a	PL	n/a	DE	n/a	O2	n/a	Orange	-40	54.34214886448341	13.403320312499998	"Chris"	"Galaxy Nexus"
20120805T051010	n/a	DE	n/a	PL	n/a	O2	n/a	Vodafone	-67	52.506191342034576	14.512939453125	"Steve"	"n/a"
20120805T092107	n/a	PL	n/a	DE	n/a	Telia	n/a	O2	-54	53.73896488496292	13.9910888671875	"Sabrina"	"One S"
20120805T100845	n/a	CZ	n/a	PL	n/a	Vodafone	n/a	Vodafone	-78	50.77815527465925	15.8203125	"Chris"	"Evo"
20120805T125011	n/a	DE	n/a	CZ	n/a	O2	n/a	Vodafone	-92	49.296471602658066	12.733154296875	"Emma"	"Galaxy S II"
20120805T144203	n/a	CZ	n/a	DE	n/a	Orange	n/a	O2	-72	49.35375571830993	13.0078125	"Till"	"Rezound"
20120805T182230	NULL	FR	n/a	CH	n/a	O2	n/a	Swisscom	-50	46.60228013300284	6.0150146484375	"Till"	"Galaxy S II"
20120806T081010	n/a	CZ	n/a	DE	n/a	O2	n/a	Orange	-88	50.233151832472245	12.183837890625	"Brendan"	"Droid Razr"
20120803T075523	n/a	DE	n/a	PL	n/a	T-Mobile	n/a	O2	-23	53.67068019347264	14.30419921875	"Till"	"Galaxy S"
20120806T094901	NULL	CH	n/a	FR	NULL	O2	n/a	O2	-1	46.41892578708076	5.94085693359375	"Till"	"Desire HD"
